title,subject
The pie and the patty-pan,"Juvenile fiction,Cats,Animals,Dogs,Children's stories,Fiction,Dogs in fiction,Cats in fiction,Picture books,Children's stories, English,Children's fiction,Rabbits, fiction,Katze,Hund,Animals, fiction,Dogs, fiction,Cats, fiction,Peter rabbit (fictitious character), fiction"
Jamberry,"Children's fiction,Stories in rhyme,Bears, fiction,Bears,Juvenile fiction,Animals,Juvenile poetry,Fiction,Poetry,Juvenile literature,Berries,Poésie,Ouvrages pour la jeunesse,Ours,Romans, nouvelles, etc. pour la jeunesse,Baies (Fruits),Picture books,Children's Books/Baby-Preschool,Toy and movable books"
A pocket for Corduroy,"Teddy bears,Corduroy (Fictitions character),Fiction,Juvenile fiction,Pockets,Toys,Spanish language materials,Bolsillos,Ficción juvenil,Osos de felpa,Picture books,Picture books for children,Corduroy (fictitious character), fiction,Bears, fiction,Children's fiction,Toys, fiction,Animals, fiction,Bears,Corduroy (Fictitious character),Teddy bears, fiction,Toy and movable books,Literature and fiction, juvenile,Behavior, fiction"
Don't Let the Pigeon Drive the Bus!,"Spanish language books,Children's Books/Baby-Preschool,Readers,Pigeons,Spanish language,Fiction,Spanish language -- Juvenile fiction,Bus drivers,Juvenile fiction,Humorous stories,Children's fiction,Birds, fiction,Picture books,Spanish language materials,Pigeons, fiction,Bus drivers, fiction,Humor,Frustration,Wunsch,Omnibusfahrer,Complaints (Rhetoric),Tauben,Juvenile Wit and humor,Pleading,Reader,Persuasion (Rhetoric),Trucks,Beginner,Buses,Begging,Bribery,Anger,Ouvrages illustrés,Conducteurs d'autobus,Disappointment,Ficción juvenil,Palomas,Conductores de autobús,Children's stories, American,Specimens,Temper tantrums,collectionID:caldecotthonor00"
Obélix et Compagnie,"series:asterix,Juvenile fiction,Comic books, strips,Comics & graphic novels, general,Fiction, action & adventure,Bandes dessinées,Romains,Fiction,Celts,Celts in fiction,Cartoons and comics,Readers,Graphic novels,Children's fiction,Civics, british,Picture books,Wit and humor"
Quick as a Cricket,"Animals,Bilingual,Fiction,Hmong language materials,Self-perception,Stories in rhyme,Juvenile literature,Juvenile fiction,Individuality,Insects,Children's stories,Picture books for children,Personality,Imagination,Oversize books,Self-perception, fiction,Animals, fiction,Children's fiction,Picture books,Child and youth fiction,Crickets, fiction,Self-confidence, fiction,French language,French language materials,Toy and movable books"
The True Story of the Three Little Pigs,"The True Story of the 3 Little Pigs!,By A. Wolf (As Told to Jon Scieszka),1991 Scholastic first printing,By A. Wolf,his story,actual story,he says,Front page news,Cerdos,Lobos,Juvenile fiction,Fiction,Novela juvenil,Pigs,Swine,Wolves,Neighbors,Gluttony,Sneezing,Truthfulness and falsehood,Prisoners,Children's fiction,Bears, fiction,Ficción juvenil,Pigs, fiction,Wolves, fiction,Pigs in fiction,Fairy tales,Wolves in fiction,Parodies, imitations,Adaptations,Humorous stories,Picture books,Spanish language materials,Materiales en español,Literatura juvenil,Friendship, fiction"
At the Waterworks,"Hydrology,Waterworks,Juvenile literature,Biodegradation,Spanish language materials,Biodegradación,Literatura juvenil,Water treatment plants,Picture books,Science,School field trips,Water-supply,Women science teachers,Juvenile fiction,Study and teaching,Hidrología,Purificación,Agua,Purification,Water,Water supply,Abastecimiento,Water-supply, juvenile literature,French language,Readers (Primary),Lectures et morceaux choisis (Enseignement primaire),Large type books,Vand,Vandforsyning,Children's fiction,Conservation of natural resources, fiction"
The Tiger Who Came to Tea,"Children's fiction,Picture books,Tiger, fiction,Food,Tigers,Fiction,Children's stories,Tiger,Juvenile fiction,Afternoon teas,Tea,Tijgers,Bezoekers,Stories for children,Hunger,Food, fiction,Ficción juvenil,Alimentos,Tigre,Pictorial works"
Franklin in the Dark (Franklin),"Children's fiction,Franklin (fictitious character : bourgeois), fiction,Turtles, fiction,Fear, fiction,Toy and movable books,Novela juvenil,Animals,Turtles,Readers,Juvenile fiction,Readers (Primary),Fiction,Fear of the dark,Animales,Fear,Spanish language materials,Franklin (Fictitious character : Bourgeois),Literature and fiction, juvenile,Juvenile literature,Benjamin (Personnage fictif : Bourgeois),Ouvrages pour la jeunesse,Picture books,Franklin (Fictitious character),Peur,Ouvrages illustrés,Nuit,Tortues,Animaux,Polish language materials"
Mouse Tales,"bedtime,beginning readers,children's fiction,children's stories,cuentos,ficción juvenil,fiction,high interest-low vocabulary books,juvenile audience,juvenile fiction,juvenile works,mice,picture books,ratones,readers,short stories,Spanish language materials,Mice, fiction,Children's fiction,Animals, fiction,Literature and fiction, juvenile,Short stories,Mice,Juvenile fiction,Fathers and sons,Storytelling,Juvenile Wit and humor,Children's stories"
The Snail and the Whale,"Fiction,Stories in rhyme,Whales,Snails in fiction,Snails,Whales in fiction,Juvenile fiction,Snails, fiction,Whales, fiction,Children's fiction,Picture books,Scottish Gaelic language,Readers"
A squash and a squeeze,"Fiction,Stories in rhyme,Humorous stories,Dwellings,Domestic animals,Juvenile fiction,Children's poetry,Children's fiction,Houses, fiction,Domestic animals, fiction,Older women,Farm life,Mens-dier-relatie,Crowding stress,Picture books,Toy and movable books,Children's stories,Pictorial works,Histoires pour enfants,Romans, nouvelles, etc. pour la jeunesse,Ouvrages illustrés,Animals, fiction"
A Bell for Ursli,"Translations of Rhaeto-Romance/Romansh texts,Poetry,Picture books,Children,Switzerland, fiction,Stories in rhyme,Children's fiction,Adventure and adventurers, fiction"
A Colour of his own,"Chameleons,Children's stories,Color,Fiction,Juvenile fiction,Stories in rhyme,Color, fiction,Children's fiction,Individuality,Friendship,Colors,Picture books,Children's literature,Animals, fiction,Lizards, fiction,Spanish language, readers,Camaleónes,Ficción juvenil,Spanish language materials,Chinese language materials,Bilingual"
"1, 2, 3 to the zoo","Counting,Zoo animals,Juvenile literature,Pictorial works,Picture books,Fiction,Juvenile fiction,Children: Kindergarten,Zoos, juvenile literature,Zoos,Counting books,Counting, juvenile literature,Animals, fiction,Children's fiction,Zoo animals, fiction,Numeration,Zoo aninals,Zoo animals, juvenile literature,American literature,Prentenboeken (genre)"
Whistle for Willy,"African Americans,Dogs,Whistling,Fiction,Juvenile fiction,Children's stories,Children's fiction,Dogs, fiction,African americans, fiction,Perros,Silbido,Spanish language materials,Ficción juvenil,Afronorteamericanos,Picture books,Whistling in fiction,Dogs in fiction,African Americans in fiction"
Leo the late bloomer,"Tigers,Fiction,Spanish language materials,Juvenile fiction,Bilingual,Hmong language materials,Readers,Board books,Spanish language,Tiger,Children's stories,Ficción juvenil,Tigres,Children's fiction,Tiger, fiction,Picture books,Family, fiction,Literature and fiction, juvenile,Children, fiction,Reading (Elementary)"
Fox in Socks,"Open Library Staff Picks,Juvenile fiction,Foxes,Fiction,Stories in rhyme,Nonsense verses,Juvenile literature,Fantasy,Tongue twisters,Beginner,Concepts,Littérature pour la jeunesse anglaise,Reader,Animals,Sounds,*2015 50th Anniversary,*1965 Orig. Public.,*1993 Copyright renewal,*Christianbook.com,*Age 3-7,Preschool to gr.2,* Suitable for all ages,Dr. Seuss,Fox in Socks,Beginner Books,I Can Read It All By Myself,Kids,Children,Children's,Juvenile,Books,Stories,Literature,Tongue twister,Rhymes,Book in rhymes,1986,Fox in Sox,Read-Along,Sound,Recordings,Cassette,Rhyme,Board books,Children's fiction,Humorous stories,Juvenile poetry,Character books,Picture books,Children: Kindergarten,JUVENILE FICTION,Children's stories,Foxes, fiction,Fantasy fiction,Child and youth fiction"
Mike Mulligan and His Steam Shovel,"Steam shovels,Fiction,Children's fiction,Steam shovels, fiction,Children's stories,Excavating machinery,Retirement,Juvenile fiction,Accelerated Reader 2.8.,Board books,Machinery,Contests,Friendship,Politics and government,Political prisoners,Biography,Technology, fiction,Ficción juvenil,Determination (Personality trait),Determinación (Rasgo de la personalidad),Excavadoras,Boys, fiction,Non-classifiable,Toy and movable books,Literature and fiction, juvenile,Picture books"
The Napping House (La Casa Adormecida),"Fiction,Children's Books/Baby-Preschool,Fleas,Sleep,Fleas in fiction,Sleep in fiction,Spanish language materials,Juvenile fiction,Children's stories, American,Motor learning,Instruction and study,Percussion instruments,Juvenile,Child development,Music,Families,Bedtime,Humorous Stories,Animals,Bedtime & Dreams,Dogs,Fleas, fiction,Sleep, fiction,Children's fiction,Bedtime, fiction,Board books,picture books,Humorous stories,Sueño,Novela,Pulgas,Materiales en español,JUVENILE FICTION / Bedtime & Dreams,JUVENILE FICTION / Humorous Stories,Houses, fiction,In library,Animals, fiction,Toy and movable books,Insects, fiction,Bilingual,Novela juvenil,Picture books"
The Little House,"Dwellings,City and town life,Fiction,Juvenile fiction,Country life,Country homes,Children's fiction,Houses, fiction,Cities and towns, fiction,buildings,Cities and towns,illustration,Caldecott Medal,memories,urban sprawl,Houses,Country life, fiction,Board books,Vida urbana,Viviendas,Ficción juvenil,Frontier and pioneer life, fiction,Family life, fiction,collectionID:caldecott40,Literature and fiction, juvenile,Picture books,Domestic Architecture,Housing,award:Caldecott_award,lexile:610,lexile_range:601-700,lexile_code:AD,age:min:2,age:max:7,grade:min:Preschool,grade:max:3"
Rooster who set out to see the world,"Juvenile fiction,Animals,Counting,Animals in fiction,Set theory,Fiction,Numbers,Roosters,Children's fiction,Roosters, fiction,Picture books,Children's stories,Adventure and adventurers, fiction,Readers (Elementary),JUVENILE FICTION / Reader - Beginner,JUVENILE FICTION / Animals,Animals, fiction,Counting books,Juvenile literature,Children's stories, American,Picture books for children,Board books"
Harry the Dirty Dog,"Cleanliness,Juvenile fiction,Dogs,Spanish language materials,Fiction,Hygiene,Children's fiction,Dogs, fiction,Picture books,Harry (Fictitious character : Zion),Baths,Humorous stories,Picture books for children,Children's stories, American"
The spiffiest giant in town,"Fiction,Giants,Clothing and dress,Kindness,Animals,Juvenile fiction,Pictorial works,Children's fiction,Giants, fiction,Picture books,Stories in rhyme,Bilderbuch,Dank,Freigebigkeit,Hilfsbereitschaft,Kleidung,Riese,Tiere,Humorous stories,Animals, fiction,Friendship, fiction,Clothing and dress, fiction"
Each Peach Pear Plum,"Children's fiction,Stories in rhyme,Literary recreations,Juvenile fiction,Rhyme,English language,Picture books for children,Juvenile literature,Nursery rhymes,Children's stories,Picture books,Play"
Alexander and the wind-up mouse,"Children's stories,Fiction,Juvenile fiction,Mice,Toys,Magic,Lizards,Mechanical toys,Friendship,Children's fiction,Picture books,Mice, fiction,Mouse,collectionID:caldecotthonor70,Toys, fiction"
Have You Seen My Cat?,"Picture books,Fiction,Cats,Juvenile fiction,Children: Kindergarten,Children: Babies Toddlers,Children's fiction,Cats, fiction,Lost and found possessions,Children's stories,Cat family (Mammals),Toy and movable books,Slide-and-peek books,Specimens,Board books,Children's stories, Chinese,Picture books for children,McFadden Lecturer,Lost articles,Ficción juvenil,Novela juvenil,Gatos,Bilingual,Objetos perdidos,Spanish language materials"
Blueberries for Sal,"Bears,Berries,Blueberries,Fiction,Juvenile fiction,Mothers,Picture books,Picture books for children,Juvenle fiction,Parent and child,Children,Conduct of life,Family,Accelerated Reader 3.8.,Parents,Mothers and daughters,Animals,Classics,Bears, fiction,Mother and child, fiction,Maine, fiction,Children's fiction,Bears -- Juvenile fiction,Humorous stories,Children's audiobooks,Audiobooks,Madre e hijo,Ficción juvenil,Osos,Mother and child,Spanish language materials,collectionID:caldecotthonor40,Mères,Romans, nouvelles, etc. pour la jeunesse,Ours,Mère et enfant"
Topsy and Tim,"Children's fiction,Picture books"
Chicken Soup with Rice,"Jewish Cooking,Rice,Humorous poetry,Juvenile poetry,Stories in rhyme,Soups,Juvenile fiction,Months,Chicken soup,Children's literature,Grandmothers,Poetry,Boys,Seasons,Fiction,Picture books,UP Elementary,Reading List,Hockaday,Before kindergarten,Entering 2nd grade,Children's poetry,American poetry,Months, poetry,Nonsense verses,Alligators,Counting,Conduct of life,Alphabet books,Specimens,Alphabet,Apathy,Meses,Ficción juvenil,Children's fiction,Toy and movable books,Large type books,Months -- Juvenile fiction,Months -- Fiction,Soups -- Fiction,Board books,Mois -- Romans, nouvelles, etc. pour la jeunesse,JUVENILE FICTION -- Classics,JUVENILE FICTION -- Concepts -- Seasons,JUVENILE FICTION -- Cooking & Food"
Bedtime for Frances,"Frances (Fictitious character : Hoban),Fiction,Fear of the dark,Spanish language materials,Bedtime,Fear,Juvenile fiction,Badgers,Tejones,Ficción juvenil,Miedo,Hora de acostarse,Children's fiction,Sleep, fiction,Badgers, fiction,Picture books,Girls, fiction,Blaireaux,Romans, nouvelles, etc. pour la jeunesse,Heure du coucher,Peur de l'obscurité,Bears, fiction"
The One in the Middle Is the Green Kangaroo,"siblings,kangaroos,children's books,Fiction,Brothers and sisters,Juvenile fiction,Family life,Humorous stories,Theater,Schools,Family,Brother and sisters,Families,Children's fiction,Brothers and sisters, fiction,Family life, fiction,Schools, fiction,Theater, fiction,Middle-born children,Kangaroos, fiction,Animals, fiction,Picture books,Siblings, fiction"
Tikki Tikki Tembo,"Folklore,picture book for children,children's stories,Neighbors,Mothers and sons,Brothers,Juvenile fiction,Wells,Ladders,Middle-born children,First-born children,Chinese Names,Rescues,Personal Names,Legends,Folklore, china,Picture books,Picture books for children,Folklore, juvenile literature,Chinese,Fiction,Children's fiction,Humorous stories,Mothers and sons, fiction"
Inch by inch,"Juvenile fiction,Birds,Fiction,Caterpillars,Worms,Caldecott honor book,Picture books,Children's fiction,Caterpillars, fiction,Birds, fiction,collectionID:caldecotthonor60,Geometridae,Larvae,award:Caldecott_award,lexile:210,lexile_range:201-300,lexile_code:AD,age:min:2,age:max:5,grade:min:Preschool,grade:max:2"
A House for Hermit Crab,"Hermit crabs,Crabs,Marine animals,Fiction,Dwellings,Children's fiction,Crabs, fiction,Picture books,Juvenile fiction,Children: Grades 1-2,Self-confidence,Neighbors,Adjustment (Psychology),Household Moving,Reading list,Hockaday,Before kindergarten,Reading List,Armstrong Elementary,Kindergarten,Houses,Animals,Habitations,Friendship, fiction,Viviendas,Ficción juvenil,Cangrejo,Animales marinos,Spanish language materials,Marine animals, fiction,Houses, fiction,Home, fiction"
Splash and Bubbles,"Children's fiction,Fishes, fiction,Marine animals, fiction,Picture books,Individuality, fiction,Octopuses, fiction,Sharks, fiction,Color, fiction"
Growing Vegetable Soup,"Vegetable gardening,Gardening,Soups,Juvenile fiction,Ficción juvenil,Fiction,Huertos,Sopas,Juvenile literature,Spanish language materials,Children's books,Spanish language,Novela,Materiales en espanol,Children's fiction,Gardening, fiction,Vegetable gardening, fiction,Picture books,Spanish language, readers,Spanish language, juvenile literature,Food, fiction,JUVENILE FICTION,Cooking & Food,Nature & the Natural World,JUVENILE NONFICTION,Accelerated Reader,Hortalizas,Bilingual,Cooking,Vegetables,Gardens,Education, juvenile literature,Readers"
"Pancakes, pancakes!","Fiction,Cookery,Pancakes, waffles,Cookery in fiction,Juvenile fiction,Pancakes, waffles, etc. in fiction,Cooking,Children's fiction,Baking, fiction,Picture books,Food, fiction,Cooking, fiction,Littérature de jeunesse anglaise,Cuisine,Ouvrages illustrés,Crêpes (Cuisine),Pictorial works,Board books,Readers,Juvenile literature,Reader (Elementary)"
Good Night Gorilla,"Fiction,Zoos,Zoo animals,Juvenile fiction,Gorilla,Ficción juvenil,Animales zoológicos,Parques zoológicos,Board books,Picture books,Zoo keepers,Bedtime stories,Animals,Spanish language materials,Spanish: Grades 2-3,Animales zoologicos,Gorilas,Animales del zoologico,Novela juvenil,Zoologicos,Children's fiction,Zoo animals, fiction,Zoos, fiction,Children's Books/Baby-Preschool,Child and youth fiction,Hora de acostarse,Bedtime,Animals, fiction,Monkeys, fiction"
The snowman,"Picture books,Stories without words,Juvenile fiction,Fiction,Snowmen,Dreams,Cartoons and comics,Toy and movable books,Readers,Miniature books,Specimens,Problems, exercises,Vocabulary,Juvenile literature,Study and teaching,Picture books for children,English language,Study and teaching (Primary),Welsh language,JUVENILE FICTION,Comics & Graphic Novels,Bedtime & Dreams,Social Themes,Cartoons and caricatures,General,Friendship,Children's fiction,Fantasy fiction,Caricatures and cartoons,Comic books, strips,Children's songs,Songs"
Pierre,"Juvenile fiction,Conduct of life,Lions,Stories in rhyme,Emotions,Fiction,Children's fiction,Behavior, fiction,Wit and humor,Picture books,Lion,Ficción juvenil,Leones,Apathy,Spanish language materials,Toy and movable books,Lion, fiction"
Fables,"American Fables,Animales,Animals,Children's stories, American,Cuentos infantiles estadounidenses,Fables,Fables, American,Ficción juvenil,Fiction,Fábulas estadounidenses,Readers,Spanish language,Caldecott Medal,Juvenile fiction,Picture books,Virtues,Fables amřicaines,Conduct of life,Romans, nouvelles, etc. pour la jeunesse,Animaux,Picture book,1981,Histoires pour enfants amřicaines,Caldecott Medal books,Vices,Children's fiction,Folklore, united states,Animals, fiction,collectionID:caldecott80,award:Caldecott_award"
The Cat in the Hat Comes Back,"Dr. Seuss,Cat in the Hat,Children's,Books,Stories,Fiction,Rhymes,Rhyming,Play,Alphabet,Fantasy,Juvenile fiction,Cat,Hat,Cats,Stories in rhyme,Humorous stories,Picture books,Nonsense verses,Amusements,Pictorial works,Readers,Children's fiction,Cats, fiction,Cat in the hat (fictitious character), fiction,Large type books,Readers (Primary),Readers (Elementary),Wit and humor,Behavior, fiction,Siblings, fiction"
A Hole Is to Dig,"Definition (Philosophy),Children's stories,Juvenile literature,Vocabulary, juvenile literature,Vocabulary,Wit and humor,Niños,Picture books,Juvenile fiction,Fiction,Vocabulario,Imagination,Ficción juvenil,Children,Libros de láminas,Picture books for children,Spanish language materials,Humorous stories,Children's fiction"
Rosie's walk,"Chickens,Chinese language materials,Fiction,Foxes,Juvenile fiction,Picture books,Spanish language materials,Hunting,Escapes,Domestic animals,Juvenile Wit and humor,Hunting accidents,Board books,Race relations,Foxes, fiction,Chickens, fiction,Children's fiction,Large type books"
"Lyle, Lyle, Crocodile","Crocodiles,Fiction,Zoos,Children's fiction,Crocodiles, fiction,Picture books,Juvenile works,Juvenile fiction,EASY BOOKS,Lyle the crocodile (fictitious character), fiction,Literature and fiction, juvenile"
Lost and found,"Lost and found possessions,Juvenile fiction,Fiction,Voyages and travels,Penguins,Friendship,Children's fiction,Penguins, fiction,Friendship, fiction,Voyages and travels, fiction,Viajes,Lost articles,Amistad,Objetos perdidos,Spanish language materials,Pingüinos,Picture books,Loneliness, fiction,Stars, fiction,Picture books for children,Child and youth fiction"
How to Catch a Star,"Fiction,Stars,Stars -- Fiction,Juvenile fiction,Children's stories, English,Pictorial works,Children's fiction,Stars, fiction,Picture books,Toy and movable books,Estrellas,Ficción juvenil,Spanish language materials"
Monkey Puzzle,"Jungle animals,Monkeys in fiction,Jungle animals in fiction,Fiction,Butterflies in fiction,Stories in rhyme,Butterflies,Monkeys,Juvenile fiction,Mothers,Miscommunication,Lost children,Affen,Picture books for children,Fantasie,Butterflies, fiction,Monkeys, fiction,Children's fiction,Picture books,Mother and child, fiction,Mothers and sons, fiction,Children's stories, English,Animals,Jungle animals, fiction,Board books"
The Runaway Tractor,"Juvenile fiction,Pictorial works,Readers (Elementary),Tractors,Readers,Vocabulary,Fiction,Apple Tree Farm (Imaginary place),Dogs,Farm life,Children's fiction,Tractors, fiction,Picture books,Children's stories,Farms,Readers (Primary),English language, juvenile literature,Tracteurs,Romans,Agriculteurs,Farmers,Vie à la ferme,Romans, nouvelles, etc. pour la jeunesse,Exploitations agricoles"
Struwwelpeter,"Children's fiction,Picture books,Short stories,Retribution,Human behavior,Juvenile fiction,Translations into English,Fiction,Stories in rhyme,Children's stories, German,Behavior"
Pig Gets Stuck,"Cerdos,Farm life,Juvenile fiction,Animales domesticos,Board books,Fiction,Pigs,Vida agricola,Swine,Domestic animals,Spanish language materials,Novela infantil,Readers,Farms,Children's stories,Pictorial works,Children's fiction,Pigs, fiction,Toy and movable books,Domestic animals, fiction,Picture books,Readers (Primary),Apple Tree Farm (Imaginary place),Children's stories, English,Pictorial worksJuvenile fiction"
"One Fish, Two Fish, Red Fish, Blue Fish","Peces,Animales caseros,Juvenile fiction,Fiction,Stories in rhyme,Ficción juvenil,Cuentos en rima,Pets,Fishes,Fishes -- Juvenile fiction,Spanish language materials,Pets -- Juvenile fiction,Children's fiction,Large type books,Fishes, fiction,Stories in rhyme.,Fantasy.,Minstrels,Music,History and criticism,Meistersinger,Animals,Imagination,Easy readers,Picture books,JUVENILE FICTION,Classics,Concepts,Counting & Numbers,Humorous Stories,Nonsense verses,Littérature pour la jeunesse anglaise,High interest-low vocabulary books"
Disney's The jungle book,"Juvenile fiction,Mowgli (Fictitious character),Jungles,Animals,Fiction,Comic books, strips, etc.,Mowgli (fictitious character), fiction,Walt Disney Presents,The Jungle Book,audiobook,book,cassette,children,children's,fiction,classic,classics,folklore,humour,tears,jungle,animals,kids,music,paperback,pb,picture book,stories,storybook,student,young readers,Picture books,Jungle animals,Miniature books,Toy and movable books,Friendship,Specimens,Mowgli (Personnage fictif),Romans, nouvelles, etc. pour la jeunesse,Pictorial works,Boys,Human-animal relationships,Child and youth fiction,Children's fiction,Stories,Jungles, fiction,Feral children"
First 1000 Words in Spanish Sticker Book,"Spanish language, self-instruction,Glossaries, vocabularies,Glossaries, vocabularies, etc,Juvenile literature,Spanish language,Vocabulary,Spanish: Young Adult (Gr. 10-12),Children's 9-12 - Reference,Foreign Language Study - Spanish,Modern languages (ie other than English),Picture books,Spanish,Vocabulario,Literatura juvenil,Español,Spanish language, juvenile literature"
Charlie Cook's favourite book,"Books and reading,Stories in rhyme,Juvenile fiction,Fiction,Children's fiction,Toy and movable books,Books and reading, fiction,Ipuinak-,Libros infantiles,Cuentos-,Irakurketa-,Haur eta gazteentzako liburuak,Lectura-,Picture books,Pictorial works,Circular tales,Student activities,Creative activities and seat work,Pirates, fiction,Adventure and adventurers, fiction,Books, fiction,Cartoons and comics"
I Want My Potty,"Toilet training,Fiction,Children's fiction,Toilet training, fiction,Juvenile fiction,Vietnamese language materials,Bilingual,Board books,Stories,Picture books,Toy and movable books,Pictorial works,Princesses,Bedtime"
The very lonely firefly,"Toy and movable books,Juvenile fiction,Fiction,Fireflies,Specimens,Picture books,Fireflies, fiction,Children's fiction,Loneliness, fiction,Reader (Elementary),Readers,Juvenile literature,Friendship, fiction,Primers"
Mr. Gumpy's Outing,"Fiction,Boats and boating,Animals,Children's fiction,Boats and boating, fiction,Picture books,Discipline,Juvenile fiction,Domestic animals,Voyages and travels, fiction,Behavior, fiction,Children, fiction,Domestic animals, fiction,Animals, fiction,Animaux,Campagne"
The Magic School Bus on the Ocean Floor,"Juvenile literature,Marine animals,Ocean,Marine ecology,Ocean bottom,Picture books,Littérature de jeunesse anglaise,Science,School field trips,Study and teaching,Faune marine,Women science teachers,Ouvrages illustrés,Fonds marins,Deep-sea fishes,Marine biology,Ocean, juvenile literature,Marine animals, juvenile literature,Ouvrages pour la jeunesse"
Ira Sleeps Over,"Juvenile fiction,Fiction,Friendship,Teddy bears,Dependency in children,Family,Amistad,Ficción juvenil,Night,Children, fiction,Toys, fiction,Sleepovers,Children's fiction,Sleep, fiction,Bedtime, fiction,Humorous stories,Families,Picture books,Juvenile literature,Boys, fiction,Literature and fiction, juvenile,Friendship, fiction"
Biscuit,"Fiction,Dogs,Bedtime,Children's stories, American,Big books,Juvenile fiction,Children's fiction,Dogs, fiction,Biscuit (fictitious character : capucilli), fiction,Animals, fiction,Stories,Perros,Ficción juvenil,Spanish language materials,Hora de acostarse,Animals,Night,Biscuit (Fictitious character),Ficci?on,Reader,Noche,Beginner,JUVENILE FICTION,Bedtime & Dreams,Sueno,Spanish language,Novela juvenil,Sleep,Bedtime, fiction,Sleep, fiction,Night, fiction,Guided missiles,Picture books"
"Sam, Bangs & Moonshine","Fiction,Imagination,Juvenile fiction,Existentialism,Philosophy,Education,Human-animal relationships,Fathers and daughters,Cats,Caldecott Medal books,Truthfulness and falsehood,Children's fiction,Picture books,Islands, fiction,Caldecott medal,Gerbils,Stories,Caldecott Medal Books, 1967,Imagination, fiction,Reading materials,Spanish language materials,Spanish language,Novela,Imaginacion,collectionID:caldecott60,Caldecott Medal,award:Caldecott_award,lexile:590,lexile_range:501-600,age:min:7,age:max:12,grade:min:2 and up,grade:max:undefined"
Fish is fish,"Fiction,Frogs,Fishes,Juvenile fiction,Children's stories,Picture books,Contentment,Stories,Friendship,Loneliness,Children's fiction,Fishes, fiction,Frogs, fiction,German language materials"
What the Ladybird Heard,"Fiction,Animal sounds,Robbers and outlaws,Ladybugs,Stories in rhyme,Domestic animals,Juvenile fiction,Thieves,Children's fiction,Domestic animals, fiction,Sound, fiction,Animals, habits and behavior, fiction,Picture books,Animals, fiction,Ladybugs, fiction,Robbers and outlaws, fiction,Pictorial works"
El Monstre De Colors,"Juvenile fiction,Monsters,Emotions,Children's fiction,Monsters, fiction,Emotions, fiction,Pop-up books,Toy and movable books,Emotions, juvenile literature,Monsters, juvenile literature,Color,Color, juvenile literature,Picture books,Colors,Spanish language materials,Monstruos,Novela juvenil,Colores"
The Stray Dog,"Juvenile fiction,Spanish language materials,Dogs,Fiction,Juvenile literature,Children's fiction,Dogs, fiction,Picnicking, fiction,Family, fiction,Picture books,collectionID:caldecotthonor00"
Madeline and the gypsies,"Children's stories, American,Circus,Fiction,Gypsies,Juvenile fiction,Juvenile poetry,Madeline (Fictitious character),Picture books,Picture books for children,Poetry,Romanies,Stories in rhyme,Nuclear models,Children's fiction,Paris (france), fiction,France, fiction,Orphans, fiction,Romanies, fiction,Madeline (fictitious character), fiction,Adventure stories"
Amos & Boris,"Children's fiction,Mice, fiction,Whales, fiction,Friendship, fiction,Whales,Fiction,Children's stories,Mice,Friendship,Juvenile fiction,Accelerated Reader - 3.8.,Picture books,Mice in fiction,Friendship in fiction,Spanish language materials,Whales in fiction,Ballenas,Amistad,Ficción juvenil,Ratones,Animals, fiction"
Where's Wally?,"Picture puzzles,Voyages and travels,Humorous stories,Juvenile literature,Fiction,Literary recreations,Picture books,Puzzles, juvenile literature,Puzzles,Child and youth fiction"
The bee-man of Orn,"Children's stories,Fairy tales,Tales,Fiction,Bees,Juvenile fiction,Children's literature,Picture books,Children's fiction,Bees, fiction"
Harold and the Purple Crayon,"Animals,Children's Books/Baby-Preschool,Fiction,Fantasy,Crayon drawing,Crayons,Spanish language materials,Crayones,Juvenile fiction,Ficción juvenil,Adventure stories,Drawing,Dibujo,Children's fiction,Toy and movable books,Imagination, fiction,Harold (fictitious character : johnson), fiction,Drawing, fiction,Fantasy fiction,Crayon drawing, fiction,picture books"
Pelle's New Suit,"Children's fiction,Picture books,Sweden, fiction,Boys,Juvenile fiction,Sheep,Wool,Clothing and dress,Farm life,Work,Responsibility,Barter,Work ethic,Cooperation,Picture books for children"
Mr. Bump,"Humorous stories,Children's fiction,Toy and movable books,Fiction,Clumsiness,Children's stories,Specimens,Juvenile fiction,Accidents,Mr. Men (Fictitious characters),Pictorial works,Human behavior,Nonsense literature,Contests,Sneezing,Orderliness,Picture books,Hygiene,Food,Giants,Friendship, fiction"
A Tree Is Nice,"Juvenile literature,Trees,JUVENILE NONFICTION,Animals,Ouvrages pour la jeunesse,Arbres,Play,Fiction,Concepts,Natural history,Seasons,Senses & Sensation,Juvenile fiction,Pictorial works,Trees, juvenile literature,Picture books,Picture books for children,Arboles,Literatura juvenil,Trees--Juvenile fiction,collectionID:caldecott50,Caldecott Medal,award:Caldecott_award,lexile:420,lexile_range:401-500,age:min:3,age:max:6,grade:min:Kindergarten,grade:max:3"
There's a Wocket in my Pocket!,"1974,Dr. Seuss,There's a Wocket in my Pocket,Bright and Early Books,Begining Beginners,Book Club Edition,Juvenile,Children's,Stories,Books,Literature,Fiction,Rhymes,Rhyming,Vocabulary,Animals,Picture books,Make-believe,Imaginary creatures,Rhyme,Houses,Social acceptance,Nonsense verses,Home (Concept),Imagination,Dwellings,Stories in rhyme,Concepts,Juvenile fiction,Words,JUVENILE FICTION,Children's poetry, American,Children's fiction,Vocabulary, fiction,Humorous stories"
